optimizer,test_acc,val_loss,time_sec
SGD,94.05,0.17412599664252001,230.28885509999964
SGD + Momentum,97.24000000000001,0.08986753723114628,235.33008860000018
Adam,97.61,0.12449635449783966,120.6670967
