optimizer,test_acc,val_loss,time_sec
SGD,94.04,0.17689440329533399,233.1371890003793
SGD + Momentum,97.41,0.08241143895202052,226.68352920003235
Adam,97.5,0.11489145198309918,109.7437079004012
